	cc_ID	price_close	price_high	price_low	price_open	time_period_end	time_period_start	trades_count	volume_traded	name
0	1	13.694	13.695	12.718	13.403	2017-01-10T00:00:00.0000000Z	2017-01-09T00:00:00.0000000Z	321	4429.70155117	XMR
1	2	13.339	13.965	13.339	13.533	2017-01-11T00:00:00.0000000Z	2017-01-10T00:00:00.0000000Z	83	1247.08803079	XMR
2	3	11.686	13.6	11.061	13.315	2017-01-12T00:00:00.0000000Z	2017-01-11T00:00:00.0000000Z	624	6521.67213896	XMR
3	4	11.843	12.249	11.25	11.378	2017-01-13T00:00:00.0000000Z	2017-01-12T00:00:00.0000000Z	462	5781.68856438	XMR
4	5	11.289	12.0	10.932	11.867	2017-01-14T00:00:00.0000000Z	2017-01-13T00:00:00.0000000Z	287	4553.54082904	XMR
5	6	11.1	11.699	10.98	11.426	2017-01-15T00:00:00.0000000Z	2017-01-14T00:00:00.0000000Z	224	2387.60730559	XMR
6	7	10.7	11.1	9.9	11.099	2017-01-16T00:00:00.0000000Z	2017-01-15T00:00:00.0000000Z	346	5087.91875501	XMR
7	8	10.6	11.0	10.304	10.699	2017-01-17T00:00:00.0000000Z	2017-01-16T00:00:00.0000000Z	233	3796.00067878	XMR
8	9	12.364	15.7	10.5	10.6	2017-01-18T00:00:00.0000000Z	2017-01-17T00:00:00.0000000Z	708	14380.93099263	XMR
9	10	12.031	12.7	11.6	12.362	2017-01-19T00:00:00.0000000Z	2017-01-18T00:00:00.0000000Z	180	1678.39590971	XMR
10	11	12.072	12.351	11.601	12.178	2017-01-20T00:00:00.0000000Z	2017-01-19T00:00:00.0000000Z	125	1095.55820761	XMR
11	12	11.82	11.82	11.82	11.82	2017-01-27T00:00:00.0000000Z	2017-01-26T00:00:00.0000000Z	3	0.4	XMR
12	13	12.919	12.919	12.876	12.876	2017-02-05T00:00:00.0000000Z	2017-02-04T00:00:00.0000000Z	6	21.077232	XMR
13	14	12.604	12.643	12.45	12.48	2017-02-08T00:00:00.0000000Z	2017-02-07T00:00:00.0000000Z	47	1389.73687307	XMR
14	15	12.71	12.779	12.3	12.641	2017-02-09T00:00:00.0000000Z	2017-02-08T00:00:00.0000000Z	221	3293.87916118	XMR
15	16	11.882	12.83	11.71	12.629	2017-02-10T00:00:00.0000000Z	2017-02-09T00:00:00.0000000Z	360	4113.2817899	XMR
16	17	12.108	12.182	11.855	12.099	2017-02-11T00:00:00.0000000Z	2017-02-10T00:00:00.0000000Z	215	6189.88197594	XMR
17	18	12.25	12.322	12.085	12.123	2017-02-12T00:00:00.0000000Z	2017-02-11T00:00:00.0000000Z	62	803.57220438	XMR
18	19	12.276	12.368	12.157	12.253	2017-02-13T00:00:00.0000000Z	2017-02-12T00:00:00.0000000Z	74	704.58880142	XMR
19	20	12.265	12.387	12.118	12.195	2017-02-14T00:00:00.0000000Z	2017-02-13T00:00:00.0000000Z	44	853.10964037	XMR
20	21	13.085	13.255	12.142	12.239	2017-02-15T00:00:00.0000000Z	2017-02-14T00:00:00.0000000Z	250	4388.75857555	XMR
21	22	13.6	13.848	12.939	13.103	2017-02-16T00:00:00.0000000Z	2017-02-15T00:00:00.0000000Z	329	6623.89144704	XMR
22	23	13.206	13.6	12.93	13.6	2017-02-17T00:00:00.0000000Z	2017-02-16T00:00:00.0000000Z	406	7143.7366719	XMR
23	24	13.471	13.471	13.122	13.217	2017-02-18T00:00:00.0000000Z	2017-02-17T00:00:00.0000000Z	108	1058.41663097	XMR
24	25	13.37	13.696	13.2	13.471	2017-02-19T00:00:00.0000000Z	2017-02-18T00:00:00.0000000Z	120	2876.96803121	XMR
25	26	13.1	13.45	13.1	13.45	2017-02-20T00:00:00.0000000Z	2017-02-19T00:00:00.0000000Z	46	513.3914789	XMR
26	27	12.301	13.05	11.481	13.03	2017-02-21T00:00:00.0000000Z	2017-02-20T00:00:00.0000000Z	651	13163.64552313	XMR
27	28	12.519	12.551	12.01	12.3	2017-02-22T00:00:00.0000000Z	2017-02-21T00:00:00.0000000Z	1071	4984.95934301	XMR
28	29	12.84	12.96	12.2	12.411	2017-02-23T00:00:00.0000000Z	2017-02-22T00:00:00.0000000Z	232	3074.07785049	XMR
29	30	12.953	13.1	12.71	12.771	2017-02-24T00:00:00.0000000Z	2017-02-23T00:00:00.0000000Z	377	3638.57515322	XMR
30	31	12.085	13.14	11.61	13.05	2017-02-25T00:00:00.0000000Z	2017-02-24T00:00:00.0000000Z	1634	28730.58790496	XMR
31	32	11.849	12.25	11.761	12.1	2017-02-26T00:00:00.0000000Z	2017-02-25T00:00:00.0000000Z	213	4050.21551891	XMR
32	33	11.96	12.21	11.771	11.888	2017-02-27T00:00:00.0000000Z	2017-02-26T00:00:00.0000000Z	128	2068.6305833	XMR
33	34	12.037	12.228	11.99	11.99	2017-02-28T00:00:00.0000000Z	2017-02-27T00:00:00.0000000Z	155	2878.36196503	XMR
34	35	12.358	12.374	11.65	11.993	2017-03-01T00:00:00.0000000Z	2017-02-28T00:00:00.0000000Z	450	10129.18807303	XMR
35	36	12.451	13.02	12.1	12.303	2017-03-02T00:00:00.0000000Z	2017-03-01T00:00:00.0000000Z	1117	34002.91946754	XMR
36	37	13.114	13.471	12.17	12.35	2017-03-03T00:00:00.0000000Z	2017-03-02T00:00:00.0000000Z	779	10238.20347424	XMR
37	38	14.054	14.688	12.9	13.05	2017-03-04T00:00:00.0000000Z	2017-03-03T00:00:00.0000000Z	1239	27298.46709196	XMR
38	39	13.68	14.3	13.27	13.807	2017-03-05T00:00:00.0000000Z	2017-03-04T00:00:00.0000000Z	314	6759.03254607	XMR
39	40	15.251	15.748	13.762	13.762	2017-03-06T00:00:00.0000000Z	2017-03-05T00:00:00.0000000Z	397	6136.84780419	XMR
40	41	15.4	15.866	14.92	15.185	2017-03-07T00:00:00.0000000Z	2017-03-06T00:00:00.0000000Z	277	5682.77576109	XMR
41	42	13.65	15.4	13.584	15.4	2017-03-08T00:00:00.0000000Z	2017-03-07T00:00:00.0000000Z	698	7666.45788831	XMR
42	43	12.51	13.798	12.51	13.654	2017-03-09T00:00:00.0000000Z	2017-03-08T00:00:00.0000000Z	590	6170.17764316	XMR
43	44	13.045	13.684	12.4	12.5	2017-03-10T00:00:00.0000000Z	2017-03-09T00:00:00.0000000Z	468	9367.86453652	XMR
44	45	13.19	13.54	12.25	13.047	2017-03-11T00:00:00.0000000Z	2017-03-10T00:00:00.0000000Z	1232	22603.31857056	XMR
45	46	14.7	14.7	12.946	13.025	2017-03-12T00:00:00.0000000Z	2017-03-11T00:00:00.0000000Z	388	10776.62065489	XMR
46	47	16.574	17.026	14.4	14.7	2017-03-13T00:00:00.0000000Z	2017-03-12T00:00:00.0000000Z	1030	21521.81233292	XMR
47	48	18.188	19.357	16.633	16.85	2017-03-14T00:00:00.0000000Z	2017-03-13T00:00:00.0000000Z	1091	19475.60983954	XMR
48	49	17.766	18.499	17.132	18.19	2017-03-15T00:00:00.0000000Z	2017-03-14T00:00:00.0000000Z	1150	18319.02781548	XMR
49	50	19.041	19.54	17.41	17.837	2017-03-16T00:00:00.0000000Z	2017-03-15T00:00:00.0000000Z	1267	22157.89261019	XMR
50	51	22.165	23.0	18.538	19.09	2017-03-17T00:00:00.0000000Z	2017-03-16T00:00:00.0000000Z	2230	44856.42899508	XMR
51	52	21.846	25.849	20.001	22.178	2017-03-18T00:00:00.0000000Z	2017-03-17T00:00:00.0000000Z	3931	78782.55341287	XMR
52	53	19.893	21.879	18.122	21.791	2017-03-19T00:00:00.0000000Z	2017-03-18T00:00:00.0000000Z	2480	43421.88861149	XMR
53	54	22.7	24.369	20.043	20.043	2017-03-20T00:00:00.0000000Z	2017-03-19T00:00:00.0000000Z	2413	32976.11263494	XMR
