	cc_ID	price_close	price_high	price_low	price_open	time_period_end	time_period_start	trades_count	volume_traded	name
0	1	0.9983	1.001	0.9901	1.0009	2017-04-02T00:00:00.0000000Z	2017-04-01T00:00:00.0000000Z	2775	568085.46248944	USDT
1	2	1.0008	1.001	0.9946	0.9983	2017-04-03T00:00:00.0000000Z	2017-04-02T00:00:00.0000000Z	12844	881231.83230676	USDT
2	3	0.9991	1.0	0.9906	0.9906	2017-04-04T00:00:00.0000000Z	2017-04-03T00:00:00.0000000Z	185	216775.8783859	USDT
3	4	1.0	1.001	0.999	1.0	2017-04-05T00:00:00.0000000Z	2017-04-04T00:00:00.0000000Z	283	321826.1020891	USDT
4	5	1.0014	1.0014	0.9995	1.0008	2017-04-06T00:00:00.0000000Z	2017-04-05T00:00:00.0000000Z	258	301618.27966025	USDT
5	6	0.9996	1.002	0.9996	1.0001	2017-04-07T00:00:00.0000000Z	2017-04-06T00:00:00.0000000Z	521	792954.64411742	USDT
6	7	0.9991	1.0	0.9991	0.9996	2017-04-08T00:00:00.0000000Z	2017-04-07T00:00:00.0000000Z	460	663268.7787429	USDT
7	8	0.999	1.0	0.9902	0.9999	2017-04-09T00:00:00.0000000Z	2017-04-08T00:00:00.0000000Z	669	1013121.01523394	USDT
8	9	0.998	0.9989	0.9902	0.9987	2017-04-10T00:00:00.0000000Z	2017-04-09T00:00:00.0000000Z	142	105602.1448	USDT
9	10	0.9958	0.9977	0.99	0.9931	2017-04-11T00:00:00.0000000Z	2017-04-10T00:00:00.0000000Z	104	159538.6344135	USDT
10	11	0.9974	0.9983	0.9942	0.9967	2017-04-12T00:00:00.0000000Z	2017-04-11T00:00:00.0000000Z	138	354089.58171652	USDT
11	12	0.9932	0.9973	0.9871	0.9973	2017-04-13T00:00:00.0000000Z	2017-04-12T00:00:00.0000000Z	496	468206.06388288	USDT
12	13	0.9939	0.9954	0.9902	0.9934	2017-04-14T00:00:00.0000000Z	2017-04-13T00:00:00.0000000Z	490	410573.93379448	USDT
13	14	0.9899	0.996	0.9689	0.9934	2017-04-15T00:00:00.0000000Z	2017-04-14T00:00:00.0000000Z	222	143302.99439986	USDT
14	15	0.9896	0.9899	0.9676	0.9689	2017-04-16T00:00:00.0000000Z	2017-04-15T00:00:00.0000000Z	88	29843.42927598	USDT
15	16	0.9515	0.9896	0.9515	0.9896	2017-04-17T00:00:00.0000000Z	2017-04-16T00:00:00.0000000Z	92	24823.43589298	USDT
16	17	0.9392	0.9698	0.9211	0.9697	2017-04-18T00:00:00.0000000Z	2017-04-17T00:00:00.0000000Z	98	77500.41177616	USDT
17	18	0.945	0.9628	0.9207	0.94	2017-04-19T00:00:00.0000000Z	2017-04-18T00:00:00.0000000Z	188	78506.15355928	USDT
18	19	0.946	0.9549	0.9372	0.945	2017-04-20T00:00:00.0000000Z	2017-04-19T00:00:00.0000000Z	154	57736.1093031	USDT
19	20	0.949	0.9549	0.92	0.95	2017-04-21T00:00:00.0000000Z	2017-04-20T00:00:00.0000000Z	360	152570.90754028	USDT
20	21	0.9363	0.95	0.9	0.949	2017-04-22T00:00:00.0000000Z	2017-04-21T00:00:00.0000000Z	550	122233.03233796	USDT
21	22	0.915	0.95	0.915	0.9363	2017-04-23T00:00:00.0000000Z	2017-04-22T00:00:00.0000000Z	578	236067.78554538	USDT
22	23	0.915	0.94	0.901	0.911	2017-04-24T00:00:00.0000000Z	2017-04-23T00:00:00.0000000Z	440	152815.28709606	USDT
23	24	0.915	0.9286	0.901	0.912	2017-04-25T00:00:00.0000000Z	2017-04-24T00:00:00.0000000Z	376	152175.59523378	USDT
24	25	0.904	0.925	0.89	0.9149	2017-04-26T00:00:00.0000000Z	2017-04-25T00:00:00.0000000Z	456	201933.16011496	USDT
25	26	0.9201	0.9367	0.903	0.9195	2017-04-27T00:00:00.0000000Z	2017-04-26T00:00:00.0000000Z	454	105802.98852524	USDT
26	27	0.92	0.937	0.9199	0.9286	2017-04-28T00:00:00.0000000Z	2017-04-27T00:00:00.0000000Z	382	95149.43102228	USDT
27	28	0.94	0.9649	0.9199	0.92	2017-04-29T00:00:00.0000000Z	2017-04-28T00:00:00.0000000Z	504	151565.19922304	USDT
28	29	0.931	0.9524	0.931	0.94	2017-04-30T00:00:00.0000000Z	2017-04-29T00:00:00.0000000Z	532	51153.66098548	USDT
